Codi,Barris,Any,Preu_m2
46,el Turó de la Peira  ,2021,11.27
46,el Turó de la Peira  ,2022,11.91
46,el Turó de la Peira  ,2023,12.56
46,el Turó de la Peira  ,2024,13.11
46,el Turó de la Peira  ,2025,13.03
47,Can Peguera  ,2014,5.29
47,Can Peguera  ,2015,5.79
47,Can Peguera  ,2016,8.07
47,Can Peguera  ,2017,11.18
47,Can Peguera  ,2018,8.08
47,Can Peguera  ,2019,11.92
47,Can Peguera  ,2020,
47,Can Peguera  ,2021,
47,Can Peguera  ,2022,
47,Can Peguera  ,2023,
47,Can Peguera  ,2024,12.45
47,Can Peguera  ,2025,8.44
48,la Guineueta  ,2014,8.21
48,la Guineueta  ,2015,8.17
48,la Guineueta  ,2016,8.78
48,la Guineueta  ,2017,9.38
48,la Guineueta  ,2018,10.07
48,la Guineueta  ,2019,10.48
48,la Guineueta  ,2020,10.56
48,la Guineueta  ,2021,9.71
48,la Guineueta  ,2022,10.83
48,la Guineueta  ,2023,12.19
48,la Guineueta  ,2024,11.94
48,la Guineueta  ,2025,12.47
49,Canyelles  ,2014,6.98
49,Canyelles  ,2015,7.21
49,Canyelles  ,2016,8.04
49,Canyelles  ,2017,8.60
49,Canyelles  ,2018,9.47
49,Canyelles  ,2019,9.49
49,Canyelles  ,2020,9.66
49,Canyelles  ,2021,9.36
49,Canyelles  ,2022,9.72
49,Canyelles  ,2023,10.76
49,Canyelles  ,2024,10.32
49,Canyelles  ,2025,9.98
50,les Roquetes  ,2014,8.33
50,les Roquetes  ,2015,8.72
50,les Roquetes  ,2016,9.36
50,les Roquetes  ,2017,10.17
50,les Roquetes  ,2018,11.21
50,les Roquetes  ,2019,11.23
50,les Roquetes  ,2020,11.65
50,les Roquetes  ,2021,11.34
50,les Roquetes  ,2022,12.25
50,les Roquetes  ,2023,13.61
50,les Roquetes  ,2024,13.50
50,les Roquetes  ,2025,13.62
51,Verdun  ,2014,9.22
51,Verdun  ,2015,9.14
51,Verdun  ,2016,10.10
51,Verdun  ,2017,11.09
51,Verdun  ,2018,11.65
51,Verdun  ,2019,12.08
51,Verdun  ,2020,12.00
51,Verdun  ,2021,12.29
51,Verdun  ,2022,11.99
51,Verdun  ,2023,14.53
51,Verdun  ,2024,13.09
51,Verdun  ,2025,14.21
52,la Prosperitat  ,2014,8.90
52,la Prosperitat  ,2015,9.63
52,la Prosperitat  ,2016,10.30
52,la Prosperitat  ,2017,11.26
52,la Prosperitat  ,2018,11.76
52,la Prosperitat  ,2019,12.02
52,la Prosperitat  ,2020,12.43
52,la Prosperitat  ,2021,11.84
52,la Prosperitat  ,2022,12.58
52,la Prosperitat  ,2023,13.95
52,la Prosperitat  ,2024,13.93
52,la Prosperitat  ,2025,14.42
53,la Trinitat Nova  ,2014,8.54
53,la Trinitat Nova  ,2015,8.79
53,la Trinitat Nova  ,2016,8.60
53,la Trinitat Nova  ,2017,10.65
53,la Trinitat Nova  ,2018,12.02
53,la Trinitat Nova  ,2019,12.11
53,la Trinitat Nova  ,2020,11.83
